"","x"
"853",24
"854",32
"855",32
"856",34
"857",34
"858",27
"859",29
"860",27
"861",32
"862",34
"863",27
"864",32
"865",37
"866",32
"867",29
"868",29
"869",34
"870",39
"871",34
"872",34
"873",37
"874",39
"875",42
"876",39
"877",44
"878",49
"879",44
"880",46
"881",42
"882",44
"883",49
"884",44
"885",37
"886",37
"887",39
"888",46
"889",49
"890",46
"891",42
"892",39
"893",39
"894",34
"895",42
"896",56
"897",61
"898",68
"899",66
"900",59
"901",51
"902",49
"903",49
"904",44
"905",39
"906",42
"907",51
"908",54
"909",24
"910",-83
"911",-100
"912",178
"913",891
"914",1243
"915",793
"916",320
"917",154
"918",112
"919",44
"920",12
"921",7
"922",7
"923",2
"924",5
"925",15
"926",12
"927",12
"928",15
"929",17
"930",20
"931",17
"932",12
"933",12
"934",7
"935",5
"936",5
"937",5
"938",5
"939",5
"940",5
"941",5
"942",10
"943",17
"944",27
"945",32
"946",42
"947",59
"948",76
"949",88
"950",105
"951",122
"952",139
"953",151
"954",156
"955",149
"956",132
"957",112
"958",93
"959",76
"960",61
"961",56
"962",54
"963",54
"964",49
"965",42
"966",44
"967",46
"968",42
"969",39
"970",39
"971",39
"972",42
"973",42
"974",42
"975",44
"976",42
"977",42
"978",44
"979",42
"980",44
"981",44
"982",42
"983",39
"984",42
"985",39
"986",42
"987",44
"988",44
"989",42
"990",44
"991",42
"992",42
"993",44
"994",37
"995",34
"996",27
"997",27
"998",29
"999",27
"1000",34
"1001",34
"1002",32
"1003",34
"1004",34
"1005",37
"1006",39
"1007",42
"1008",42
"1009",37
"1010",34
"1011",34
"1012",34
"1013",34
"1014",42
"1015",39
"1016",37
"1017",37
"1018",34
"1019",29
"1020",29
"1021",27
"1022",20
"1023",22
"1024",34
"1025",49
"1026",56
"1027",59
"1028",59
"1029",56
"1030",49
"1031",44
"1032",39
"1033",37
"1034",37
"1035",37
"1036",34
"1037",32
"1038",15
"1039",-78
"1040",-132
"1041",71
"1042",728
"1043",1331
"1044",1072
"1045",432
"1046",171
"1047",93
"1048",15
"1049",-20
"1050",-37
"1051",-37
"1052",-34
"1053",-29
"1054",-32
"1055",-24
"1056",-27
"1057",-24
"1058",-32
"1059",-37
"1060",-39
"1061",-44
"1062",-44
"1063",-46
"1064",-39
"1065",-39
"1066",-44
"1067",-44
"1068",-46
"1069",-51
"1070",-56
"1071",-56
"1072",-61
"1073",-59
"1074",-51
"1075",-49
"1076",-42
"1077",-24
"1078",-15
"1079",-2
"1080",10
"1081",27
"1082",39
"1083",42
"1084",44
"1085",24
"1086",10
"1087",-5
"1088",-20
"1089",-34
"1090",-44
"1091",-49
"1092",-46
"1093",-49
"1094",-59
"1095",-61
"1096",-68
"1097",-66
"1098",-61
"1099",-63
"1100",-71
"1101",-61
"1102",-61
"1103",-63
