"Time","ec"
1437721204920,-59
1437721204928,-71
1437721204935,-46
1437721204943,-32
1437721204951,-29
1437721204959,-29
1437721204967,-12
1437721204975,-12
1437721204983,-32
1437721204991,-34
1437721204998,-22
1437721205006,-42
1437721205014,-39
1437721205022,-22
1437721205030,-29
1437721205038,-32
1437721205046,-88
1437721205054,-183
1437721205061,-112
1437721205069,403
1437721205077,1079
1437721205085,1023
1437721205093,493
1437721205101,190
1437721205109,39
1437721205116,0
1437721205124,-66
1437721205132,-105
1437721205140,-66
1437721205148,-66
1437721205156,-59
1437721205164,-61
1437721205172,-56
1437721205179,-51
1437721205187,-39
1437721205195,-27
1437721205203,-34
1437721205211,-61
1437721205219,-61
1437721205227,-61
1437721205235,-49
1437721205242,-39
1437721205250,-46
1437721205258,-44
1437721205266,-27
1437721205274,-39
1437721205282,-71
1437721205290,-68
1437721205297,-49
1437721205305,-54
1437721205313,-59
1437721205321,-49
1437721205329,-56
1437721205337,-44
1437721205345,-61
1437721205353,-73
1437721205360,-46
1437721205368,-44
1437721205376,-49
1437721205384,-44
1437721205392,-34
1437721205400,-32
1437721205408,-20
1437721205416,-17
1437721205423,-29
1437721205431,-22
1437721205439,-22
1437721205447,-17
1437721205455,-12
1437721205463,-12
1437721205471,-5
1437721205479,-20
1437721205486,-10
1437721205494,-7
1437721205502,-5
1437721205510,10
1437721205518,-17
1437721205526,-22
1437721205534,-12
1437721205542,-17
1437721205549,-20
1437721205557,-29
1437721205565,-22
1437721205573,-20
1437721205581,-37
1437721205589,-39
1437721205597,-29
1437721205605,-32
1437721205612,-27
1437721205620,-24
1437721205628,-27
1437721205636,-12
1437721205644,-24
1437721205652,-37
1437721205660,-27
1437721205667,-24
1437721205675,-39
1437721205683,-24
1437721205691,-22
1437721205699,-34
1437721205707,-20
1437721205715,-27
1437721205723,-27
1437721205730,-10
1437721205738,-12
1437721205746,-12
1437721205754,-15
1437721205762,-22
1437721205770,-20
1437721205778,-12
1437721205786,5
1437721205793,-5
1437721205801,2
1437721205809,2
1437721205817,-5
1437721205825,0
1437721205833,-12
1437721205841,-17
1437721205849,-22
1437721205856,0
1437721205864,15
1437721205872,22
1437721205880,24
1437721205888,27
1437721205896,32
1437721205904,32
1437721205911,27
1437721205919,20
1437721205927,12
1437721205935,24
1437721205943,34
1437721205951,42
1437721205959,37
1437721205967,-54
1437721205974,-132
1437721205982,-7
1437721205990,552
1437721205998,1230
1437721206006,1130
1437721206014,540
1437721206022,242
1437721206030,125
1437721206037,22
1437721206045,-17
1437721206053,-17
1437721206061,-29
1437721206069,-56
1437721206077,-39
1437721206085,-39
1437721206092,-61
1437721206100,-63
1437721206108,-66
1437721206116,-59
1437721206124,-59
1437721206132,-54
1437721206140,-51
1437721206148,-56
1437721206155,-66
1437721206163,-59
1437721206171,-44
1437721206179,-51
1437721206187,-63
1437721206195,-49
1437721206203,-27
1437721206211,-46
1437721206218,-49
1437721206226,-39
1437721206234,-34
1437721206242,-22
1437721206250,-24
1437721206258,-29
